outlet_name,facility_id,date,resourceName,resourceId,timeRangeName,startTime,endTime,availabilityStatus,isAvailable,price,booking_url
Teck Ghee CC,TeckGheeCC_BADMINTONCOURTS,06/09/2023,1,e18091ad-4968-e611-80d9-00155dad210b,02:30 PM - 03:30 PM,2023-09-06T14:30,2023-09-06T15:30,Available,True,8.0,https://www.onepa.gov.sg/facilities/availability?facilityId=TeckGheeCC_BADMINTONCOURTS&date=06/09/2023&time=all
Teck Ghee CC,TeckGheeCC_BADMINTONCOURTS,06/09/2023,1,e18091ad-4968-e611-80d9-00155dad210b,03:30 PM - 04:30 PM,2023-09-06T15:30,2023-09-06T16:30,Available,True,8.0,https://www.onepa.gov.sg/facilities/availability?facilityId=TeckGheeCC_BADMINTONCOURTS&date=06/09/2023&time=all
Teck Ghee CC,TeckGheeCC_BADMINTONCOURTS,06/09/2023,1,e18091ad-4968-e611-80d9-00155dad210b,04:30 PM - 05:30 PM,2023-09-06T16:30,2023-09-06T17:30,Available,True,8.0,https://www.onepa.gov.sg/facilities/availability?facilityId=TeckGheeCC_BADMINTONCOURTS&date=06/09/2023&time=all
Teck Ghee CC,TeckGheeCC_BADMINTONCOURTS,06/09/2023,1,e18091ad-4968-e611-80d9-00155dad210b,05:30 PM - 06:30 PM,2023-09-06T17:30,2023-09-06T18:30,Available,True,8.0,https://www.onepa.gov.sg/facilities/availability?facilityId=TeckGheeCC_BADMINTONCOURTS&date=06/09/2023&time=all
Bishan North Zone 4 RC,BishanNorthZone4RC_BBQPIT,08/09/2023,BNZ4RC BBQ PIT 1,e2385009-64af-ec11-814d-00155d464809,05:00 PM - 10:00 PM,2023-09-08T17:00,2023-09-08T22:00,Available,True,20.0,https://www.onepa.gov.sg/facilities/availability?facilityId=BishanNorthZone4RC_BBQPIT&date=08/09/2023&time=all
Bishan North Zone 4 RC,BishanNorthZone4RC_BBQPIT,08/09/2023,BNZ4RC BBQ PIT 2,9e38a4b0-23b7-ec11-815b-00155d005005,05:00 PM - 10:00 PM,2023-09-08T17:00,2023-09-08T22:00,Available,True,20.0,https://www.onepa.gov.sg/facilities/availability?facilityId=BishanNorthZone4RC_BBQPIT&date=08/09/2023&time=all
Bishan North Zone 4 RC,BishanNorthZone4RC_BBQPIT,08/09/2023,BNZ4RC BBQ PIT 3,b7d844cb-23b7-ec11-815b-00155d005005,05:00 PM - 10:00 PM,2023-09-08T17:00,2023-09-08T22:00,Available,True,20.0,https://www.onepa.gov.sg/facilities/availability?facilityId=BishanNorthZone4RC_BBQPIT&date=08/09/2023&time=all
Bishan North Zone 4 RC,BishanNorthZone4RC_BBQPIT,08/09/2023,BNZ4RC BBQ PIT 4,959a726f-24b7-ec11-815b-00155d005005,05:00 PM - 10:00 PM,2023-09-08T17:00,2023-09-08T22:00,Available,True,20.0,https://www.onepa.gov.sg/facilities/availability?facilityId=BishanNorthZone4RC_BBQPIT&date=08/09/2023&time=all
Bishan North Zone 4 RC,BishanNorthZone4RC_BBQPIT,07/09/2023,BNZ4RC BBQ PIT 1,e2385009-64af-ec11-814d-00155d464809,05:00 PM - 10:00 PM,2023-09-07T17:00,2023-09-07T22:00,Available,True,20.0,https://www.onepa.gov.sg/facilities/availability?facilityId=BishanNorthZone4RC_BBQPIT&date=07/09/2023&time=all
Bishan North Zone 4 RC,BishanNorthZone4RC_BBQPIT,07/09/2023,BNZ4RC BBQ PIT 2,9e38a4b0-23b7-ec11-815b-00155d005005,05:00 PM - 10:00 PM,2023-09-07T17:00,2023-09-07T22:00,Available,True,20.0,https://www.onepa.gov.sg/facilities/availability?facilityId=BishanNorthZone4RC_BBQPIT&date=07/09/2023&time=all
Bishan North Zone 4 RC,BishanNorthZone4RC_BBQPIT,07/09/2023,BNZ4RC BBQ PIT 3,b7d844cb-23b7-ec11-815b-00155d005005,05:00 PM - 10:00 PM,2023-09-07T17:00,2023-09-07T22:00,Available,True,20.0,https://www.onepa.gov.sg/facilities/availability?facilityId=BishanNorthZone4RC_BBQPIT&date=07/09/2023&time=all
Bishan North Zone 4 RC,BishanNorthZone4RC_BBQPIT,07/09/2023,BNZ4RC BBQ PIT 4,959a726f-24b7-ec11-815b-00155d005005,05:00 PM - 10:00 PM,2023-09-07T17:00,2023-09-07T22:00,Available,True,20.0,https://www.onepa.gov.sg/facilities/availability?facilityId=BishanNorthZone4RC_BBQPIT&date=07/09/2023&time=all
Bishan North Zone 4 RC,BishanNorthZone4RC_BBQPIT,06/09/2023,BNZ4RC BBQ PIT 1,e2385009-64af-ec11-814d-00155d464809,05:00 PM - 10:00 PM,2023-09-06T17:00,2023-09-06T22:00,Available,True,20.0,https://www.onepa.gov.sg/facilities/availability?facilityId=BishanNorthZone4RC_BBQPIT&date=06/09/2023&time=all
Bishan North Zone 4 RC,BishanNorthZone4RC_BBQPIT,06/09/2023,BNZ4RC BBQ PIT 2,9e38a4b0-23b7-ec11-815b-00155d005005,05:00 PM - 10:00 PM,2023-09-06T17:00,2023-09-06T22:00,Available,True,20.0,https://www.onepa.gov.sg/facilities/availability?facilityId=BishanNorthZone4RC_BBQPIT&date=06/09/2023&time=all
